EmpID,Training Date,Training Program Name,Training Type,Training Outcome,Training Duration(Days)
1001,21-Sep-22,Customer Service,Internal,Failed,4
1002,19-Jul-23,Leadership Development,Internal,Failed,2
1003,24-Feb-23,Technical Skills,Internal,Incomplete,4
1004,12-Jan-23,Customer Service,Internal,Completed,2
1005,12-May-23,Communication Skills,External,Passed,4
1006,08-May-23,Project Management,Internal,Failed,2
1007,14-May-23,Leadership Development,External,Failed,2
1008,02-Aug-23,Technical Skills,External,Incomplete,2
1009,21-Aug-22,Customer Service,Internal,Incomplete,2
1010,19-Aug-22,Communication Skills,External,Incomplete,5
1011,06-Nov-22,Communication Skills,Internal,Completed,1
1012,28-Mar-23,Technical Skills,External,Failed,3
1013,08-Apr-23,Project Management,External,Incomplete,2
1014,21-Feb-23,Customer Service,External,Incomplete,2
1015,13-May-23,Leadership Development,External,Passed,1
1016,30-Apr-23,Communication Skills,External,Completed,2
1017,14-Nov-22,Technical Skills,External,Passed,3
1018,25-Mar-23,Project Management,Internal,Incomplete,2
1019,26-Oct-22,Project Management,External,Passed,5
1020,30-Dec-22,Technical Skills,External,Passed,4
1021,10-Mar-23,Technical Skills,Internal,Failed,1
1022,12-Jan-23,Project Management,Internal,Failed,1
1023,19-Oct-22,Project Management,Internal,Failed,4
1024,11-Oct-22,Project Management,External,Completed,5
1025,13-Jan-23,Project Management,Internal,Incomplete,5
1026,17-Apr-23,Communication Skills,External,Incomplete,4
1027,16-Mar-23,Communication Skills,External,Incomplete,4
1028,19-Jan-23,Technical Skills,Internal,Incomplete,3
1029,25-Feb-23,Project Management,Internal,Failed,5
1030,04-Jan-23,Communication Skills,Internal,Completed,1
1031,26-Dec-22,Communication Skills,Internal,Failed,1
1032,07-Dec-22,Technical Skills,External,Completed,3
1033,20-Jun-23,Communication Skills,Internal,Incomplete,4
1034,10-Nov-22,Leadership Development,Internal,Failed,1
1035,11-Mar-23,Communication Skills,Internal,Completed,2
1036,10-Dec-22,Customer Service,External,Failed,3
1037,25-Oct-22,Leadership Development,Internal,Failed,2
1038,28-Jul-23,Customer Service,External,Failed,2
1039,24-Jan-23,Customer Service,External,Passed,5
1040,01-Dec-22,Technical Skills,Internal,Completed,5
1041,07-Mar-23,Customer Service,Internal,Completed,3
1042,05-Oct-22,Project Management,Internal,Passed,1
1043,10-Aug-22,Communication Skills,External,Completed,2
1044,13-Sep-22,Technical Skills,External,Incomplete,4
1045,11-Jun-23,Customer Service,External,Completed,2
1046,28-Jul-23,Leadership Development,Internal,Failed,2
1047,27-Nov-22,Project Management,Internal,Passed,2
1048,02-Dec-22,Leadership Development,Internal,Completed,5
1049,20-Nov-22,Leadership Development,Internal,Completed,2
1050,03-Aug-23,Customer Service,Internal,Completed,1
1051,13-Oct-22,Leadership Development,Internal,Passed,3
1052,25-Oct-22,Communication Skills,Internal,Incomplete,4
1053,19-Dec-22,Communication Skills,External,Passed,4
1054,04-Nov-22,Technical Skills,External,Failed,3
1055,15-Nov-22,Customer Service,Internal,Passed,2
1056,16-Feb-23,Leadership Development,Internal,Completed,2
1057,23-Oct-22,Project Management,Internal,Failed,4
1058,01-Apr-23,Project Management,External,Incomplete,1
1059,16-Sep-22,Technical Skills,Internal,Incomplete,3
1060,06-Sep-22,Project Management,Internal,Completed,1
1061,01-Aug-23,Project Management,Internal,Incomplete,2
1062,27-Nov-22,Technical Skills,Internal,Failed,5
1063,15-Oct-22,Technical Skills,Internal,Completed,1
1064,06-Oct-22,Leadership Development,External,Passed,1
1065,09-Dec-22,Technical Skills,External,Passed,4
1066,14-Jun-23,Communication Skills,Internal,Completed,5
1067,24-Jun-23,Project Management,External,Completed,5
1068,06-Nov-22,Communication Skills,External,Completed,1
1069,22-Aug-22,Communication Skills,Internal,Failed,5
1070,14-Jan-23,Technical Skills,Internal,Failed,1
1071,16-Mar-23,Communication Skills,Internal,Completed,5
1072,19-May-23,Technical Skills,Internal,Passed,5
1073,03-Oct-22,Project Management,Internal,Failed,4
1074,07-Jul-23,Project Management,Internal,Passed,5
1075,16-May-23,Project Management,Internal,Passed,4
1076,07-Nov-22,Technical Skills,External,Incomplete,4
1077,21-Dec-22,Project Management,Internal,Incomplete,1
1078,24-Mar-23,Project Management,External,Passed,1
1079,15-Apr-23,Communication Skills,External,Incomplete,5
1080,22-Apr-23,Customer Service,External,Passed,4
1081,05-Jun-23,Communication Skills,External,Failed,3
1082,22-Apr-23,Customer Service,External,Incomplete,5
1083,18-Nov-22,Project Management,External,Completed,4
1084,17-Dec-22,Leadership Development,External,Completed,3
1085,01-Nov-22,Customer Service,External,Passed,5
1086,15-Jul-23,Leadership Development,External,Completed,2
1087,10-May-23,Technical Skills,Internal,Incomplete,5
1088,17-May-23,Leadership Development,External,Failed,2
1089,27-May-23,Technical Skills,Internal,Passed,2
1090,21-Mar-23,Communication Skills,External,Completed,1
1091,20-Oct-22,Customer Service,Internal,Incomplete,2
1092,20-Sep-22,Communication Skills,Internal,Completed,5
1093,07-Jul-23,Customer Service,External,Failed,5
1094,18-Aug-22,Communication Skills,Internal,Failed,4
1095,17-Aug-22,Customer Service,Internal,Passed,4
1096,25-Sep-22,Technical Skills,External,Incomplete,5
1097,11-Aug-22,Customer Service,Internal,Completed,1
1098,13-May-23,Leadership Development,External,Failed,5
1099,30-Oct-22,Project Management,External,Incomplete,5
1100,25-Feb-23,Communication Skills,External,Completed,3
1101,31-Mar-23,Communication Skills,Internal,Passed,5
1102,31-Dec-22,Project Management,External,Failed,2
1103,05-Jul-23,Leadership Development,External,Passed,3
1104,11-Aug-22,Communication Skills,Internal,Completed,4
1105,17-Jan-23,Technical Skills,Internal,Incomplete,4
1106,31-Oct-22,Project Management,Internal,Completed,1
1107,26-Jan-23,Technical Skills,Internal,Failed,2
1108,23-May-23,Customer Service,Internal,Completed,5
1109,21-Jan-23,Leadership Development,External,Completed,5
1110,13-Oct-22,Customer Service,Internal,Passed,2
1111,05-Dec-22,Project Management,Internal,Failed,5
1112,30-Sep-22,Communication Skills,Internal,Failed,3
1113,20-Jan-23,Technical Skills,External,Incomplete,2
1114,25-Feb-23,Communication Skills,Internal,Incomplete,1
1115,19-May-23,Customer Service,Internal,Incomplete,4
1116,16-May-23,Communication Skills,Internal,Incomplete,4
1117,12-Jan-23,Communication Skills,Internal,Completed,4
1118,16-Dec-22,Communication Skills,External,Completed,2
1119,08-Jul-23,Communication Skills,Internal,Incomplete,5
1120,10-Mar-23,Leadership Development,Internal,Incomplete,4
1121,19-Sep-22,Leadership Development,Internal,Failed,1
1122,21-Jan-23,Communication Skills,Internal,Passed,3
1123,31-Jan-23,Project Management,Internal,Completed,4
1124,03-Nov-22,Communication Skills,Internal,Failed,1
1125,14-Dec-22,Communication Skills,Internal,Incomplete,2
1126,29-Jul-23,Technical Skills,Internal,Failed,4
1127,04-Sep-22,Communication Skills,External,Incomplete,2
1128,17-May-23,Communication Skills,Internal,Incomplete,1
1129,11-Sep-22,Technical Skills,Internal,Passed,2
1130,09-Nov-22,Leadership Development,External,Completed,3
1131,31-Mar-23,Customer Service,Internal,Incomplete,2
1132,27-Sep-22,Communication Skills,Internal,Passed,4
1133,19-Aug-22,Customer Service,External,Passed,3
1134,09-Dec-22,Communication Skills,External,Passed,1
1135,22-Mar-23,Project Management,Internal,Passed,2
1136,25-Dec-22,Customer Service,External,Completed,3
1137,09-Sep-22,Communication Skills,Internal,Passed,5
1138,10-Sep-22,Customer Service,Internal,Failed,4
1139,01-Oct-22,Customer Service,External,Completed,1
1140,27-Sep-22,Customer Service,Internal,Passed,1
1141,17-May-23,Technical Skills,Internal,Incomplete,1
1142,17-Jul-23,Leadership Development,External,Completed,3
1143,20-Dec-22,Customer Service,Internal,Failed,3
1144,10-Jan-23,Communication Skills,External,Completed,4
1145,15-Nov-22,Technical Skills,Internal,Incomplete,2
1146,28-Jun-23,Technical Skills,External,Failed,3
1147,25-Jan-23,Leadership Development,Internal,Failed,2
